Date,Open,High,Low,Close,Adj Close,Volume
2021-07-28,36.919998,37.180000,35.180000,36.250000,36.150959,121900
2021-07-29,36.700001,37.860001,36.509998,37.150002,37.048500,116700
2021-07-30,36.869999,37.500000,36.830002,37.180000,37.078415,87700
2021-08-02,37.490002,37.689999,36.630001,36.730000,36.629646,63000
2021-08-03,36.860001,37.209999,36.389999,36.990002,36.888935,88500
2021-08-04,36.880001,37.310001,36.650002,36.930000,36.829098,64100
2021-08-05,37.060001,37.200001,36.580002,36.599998,36.500000,55400
2021-08-06,36.770000,37.330002,36.730000,37.009998,37.009998,69100
2021-08-09,37.040001,37.470001,36.759998,37.259998,37.259998,54100
2021-08-10,37.270000,37.990002,37.270000,37.919998,37.919998,76000
2021-08-11,38.049999,38.759998,37.810001,38.700001,38.700001,66700
2021-08-12,38.910000,39.880001,38.860001,39.480000,39.480000,262500
2021-08-13,39.450001,39.919998,38.669998,38.869999,38.869999,108100
2021-08-16,38.830002,40.020000,38.830002,39.480000,39.480000,106100
2021-08-17,39.400002,39.680000,38.750000,38.939999,38.939999,118200
2021-08-18,38.860001,40.830002,38.709999,39.470001,39.470001,125600
2021-08-19,39.369999,39.590000,39.090000,39.299999,39.299999,102200
2021-08-20,39.270000,40.169998,39.080002,40.110001,40.110001,181300
2021-08-23,40.259998,41.709999,40.200001,41.330002,41.330002,115000
2021-08-24,41.299999,42.580002,41.299999,42.369999,42.369999,152900
2021-08-25,42.529999,44.119999,42.529999,43.540001,43.540001,167400
2021-08-26,43.540001,45.590000,43.540001,44.779999,44.779999,261500
2021-08-27,44.840000,45.889999,44.840000,45.400002,45.400002,208600
2021-08-30,45.669998,45.830002,45.099998,45.290001,45.290001,230000
2021-08-31,45.200001,46.500000,44.889999,46.230000,46.230000,179500
2021-09-01,46.169998,47.680000,45.939999,47.200001,47.200001,211500
2021-09-02,47.639999,48.610001,47.580002,48.180000,48.180000,206100
2021-09-03,48.450001,48.520000,47.500000,48.230000,48.230000,139700
2021-09-07,48.029999,48.080002,46.290001,46.709999,46.709999,136700
2021-09-08,46.470001,47.139999,46.400002,46.610001,46.610001,126500
2021-09-09,46.639999,47.840000,46.299999,46.299999,46.299999,174400
2021-09-10,46.369999,46.439999,45.770000,46.099998,46.099998,109500
2021-09-13,46.099998,46.230000,45.299999,45.580002,45.580002,148000
2021-09-14,45.500000,45.529999,45.009998,45.169998,45.169998,164700
2021-09-15,45.020000,45.700001,45.020000,45.270000,45.270000,136000
2021-09-16,45.700001,46.180000,45.590000,46.000000,46.000000,171900
2021-09-17,46.119999,46.200001,45.450001,45.759998,45.759998,281500
2021-09-20,44.970001,45.959999,44.630001,44.910000,44.910000,216900
2021-09-21,45.000000,45.250000,42.560001,42.650002,42.650002,256600
2021-09-22,42.860001,43.959999,42.450001,43.419998,43.419998,180600
2021-09-23,43.599998,44.169998,43.500000,43.900002,43.900002,168400
2021-09-24,43.759998,44.720001,43.500000,44.200001,44.200001,144300
2021-09-27,44.250000,45.330002,44.250000,44.950001,44.950001,151900
2021-09-28,45.040001,45.290001,44.410000,44.470001,44.470001,128000
2021-09-29,44.599998,45.070000,44.130001,44.779999,44.779999,179700
2021-09-30,44.980000,45.860001,44.480000,44.590000,44.590000,168800
2021-10-01,44.910000,45.410000,44.290001,45.160000,45.160000,84500
2021-10-04,45.150002,45.150002,44.450001,44.639999,44.639999,75200
2021-10-05,44.669998,45.549999,43.869999,45.020000,45.020000,131900
